taxiCount,clientCount,taxiSeatCount,spawnScenario,moderation,factor,factorFrom,factorTo,moderator,moderatorFrom,moderatorTo,outcome,effectScale,scope,seeds,effectAtModeratorFromMean,effectAtModeratorToMean,interactionMean,interactionStd,ci95Low,ci95High,sameDirectionSeeds,pValue,pValueHolm
39.0,638.0,1.0,,roaming_by_scenario,idleRoamingMode,random,past-avg-total,spawnScenario,BASELINE,SPATIAL_IMBALANCE,distance,relative percent,city-scenario,10,-28.209067164127788,-39.91103048052518,-11.701963316397388,1.2981982402297176,-12.630638392887626,-10.77328823990715,10,3.9177678350547785e-10,1.9588839175273893e-08
39.0,638.0,1.0,,roaming_by_scenario,idleRoamingMode,random,past-avg-total,spawnScenario,BASELINE,SPATIAL_IMBALANCE,pickup,percentage points,city-scenario,10,-0.06182514803204864,-0.03744339951236797,0.024381748519680668,0.11724448134315234,-0.059489900898164444,0.10825339793752578,7,0.5272441155360261,1.0
39.0,638.0,1.0,,roaming_by_scenario,idleRoamingMode,random,past-avg-total,spawnScenario,BASELINE,SPATIAL_IMBALANCE,waiting,relative percent,city-scenario,10,6.398814321018352,-6.5593643083867175,-12.958178629405072,3.2561696695879383,-15.287502089614575,-10.62885516919557,10,5.129787243033241e-07,2.103212769643629e-05
39.0,638.0,1.0,,roaming_by_scenario,idleRoamingMode,random,past-avg-total,spawnScenario,BASELINE,SPATIAL_ISLANDS,distance,relative percent,city-scenario,10,-28.209067164127788,-40.828297066273635,-12.619229902145841,2.549043048333086,-14.442705450432484,-10.795754353859198,10,7.77820975264165e-08,3.5001943886887423e-06
39.0,638.0,1.0,,roaming_by_scenario,idleRoamingMode,random,past-avg-total,spawnScenario,BASELINE,SPATIAL_ISLANDS,pickup,percentage points,city-scenario,10,-0.06182514803204864,0.006530825496344761,0.0683559735283934,0.09082019967927513,0.0033871164845839102,0.1333248305722029,8,0.041221373092259615,0.9068702080297115
39.0,638.0,1.0,,roaming_by_scenario,idleRoamingMode,random,past-avg-total,spawnScenario,BASELINE,SPATIAL_ISLANDS,waiting,relative percent,city-scenario,10,6.398814321018352,-10.544613626884592,-16.943427947902943,4.192384023268923,-19.94247881150355,-13.944377084302339,10,4.494470238007583e-07,1.887677499963185e-05
1685.0,27762.0,1.0,BASELINE,hops_by_radius,kHops,0,2,p2pRqsRadius,1000,3000,distance,relative percent,city-scenario,10,0.1948285208925804,-0.089355983941668,-0.2841845048342484,0.19183258105323084,-0.42141326648424504,-0.14695574318425172,10,0.001144655386262426,0.029761040042823074
1685.0,27762.0,1.0,BASELINE,hops_by_radius,kHops,0,2,p2pRqsRadius,1000,3000,pickup,percentage points,city-scenario,10,0.010103738923707972,-2.220446049250313e-15,-0.010103738923710193,0.01042726809086089,-0.017562957163099385,-0.002644520684321001,9,0.013480627330430515,0.3235350559303324
1685.0,27762.0,1.0,BASELINE,hops_by_radius,kHops,0,2,p2pRqsRadius,1000,3000,waiting,relative percent,city-scenario,10,-2.1669035382280697,0.6209527711935992,2.787856309421669,0.9187200849614572,2.130643551974296,3.4450690668690416,10,5.038470643692603e-06,0.00018642341381662632
1685.0,27762.0,1.0,BASELINE,roaming_by_radius,idleRoamingMode,none,past-avg-total,p2pRqsRadius,1000,3000,distance,relative percent,city-scenario,10,57.27240823825623,63.06266830704641,5.790260068790187,1.7816988977226402,4.515709457912483,7.0648106796678904,10,2.849190776787949e-06,0.00010826924951794206
1685.0,27762.0,1.0,BASELINE,roaming_by_radius,idleRoamingMode,none,past-avg-total,p2pRqsRadius,1000,3000,pickup,percentage points,city-scenario,10,-0.0993264174050823,6.0034099368388993e-05,0.09938645150445069,0.04378362822400413,0.06806553068518334,0.13070737232371804,10,5.2046070605313747e-05,0.0017175203299753536
1685.0,27762.0,1.0,BASELINE,roaming_by_radius,idleRoamingMode,none,past-avg-total,p2pRqsRadius,1000,3000,waiting,relative percent,city-scenario,10,65.00128854312824,0.07669553762775672,-64.92459300550047,17.88180803571373,-77.71646787540608,-52.132718135594864,10,1.1207273783594314e-06,4.482909513437725e-05
1685.0,27762.0,1.0,BASELINE,shortcuts_by_hops,p2pOverlayShortcuts,0,1,kHops,0,2,distance,relative percent,city-scenario,10,0.0,0.20057730562093257,0.20057730562093257,0.09512539929485211,0.13252869430046174,0.26862591694140336,10,9.184505993596789e-05,0.0027553517980790365
1685.0,27762.0,1.0,BASELINE,shortcuts_by_hops,p2pOverlayShortcuts,0,1,kHops,0,2,pickup,percentage points,city-scenario,10,0.0,0.005667218980381916,0.005667218980381916,0.0031445492194329626,0.0034177439800403024,0.007916693980723529,9,0.0002946180255551548,0.00854392274109949
1685.0,27762.0,1.0,BASELINE,shortcuts_by_hops,p2pOverlayShortcuts,0,1,kHops,0,2,waiting,relative percent,city-scenario,10,0.0,-0.8470423348222222,-0.8470423348222222,0.5004504530562567,-1.205043022521009,-0.48904164712343545,9,0.0004609278253730357,0.012905979110444998
