taxiCount,clientCount,taxiSeatCount,spawnScenario,kHops,p2pRequestRepublishTicks,p2pRqsRadius,p2pStrategy,p2pOverlayMinNeighbors,p2pOverlayMaxNeighbors,p2pOverlayShortcuts,p2pOverlayMaxDistanceFactor,p2pTopologyScanTicks,idleRoamingMode,seeds,deltaPctMean,deltaPctStd,metric,deltaPctCi95Half
39,638,1,BASELINE,1,15,1000,greedy,0,4,1,1,2000,past-avg-total,10,45.43470913011172,20.537093763770475,waiting,14.69135185284328
39,638,1,BASELINE,1,15,1000,greedy,0,4,1,1,2000,random,10,17.631703595034296,7.91993699193743,waiting,5.665581622174961
39,638,1,BASELINE,1,15,1000,greedy,1,4,0,1,2000,none,10,259.95093896368695,31.59124387608271,waiting,22.59901447551762
39,638,1,BASELINE,1,15,1000,greedy,1,4,0,1,2000,past-avg,10,51.98253956926557,20.70150043961642,waiting,14.808961303800263
39,638,1,BASELINE,1,15,1000,greedy,1,4,0,1,2000,past-avg-revisit,10,256.61288113734446,30.465654698708978,waiting,21.793816484177587
39,638,1,BASELINE,1,15,1000,greedy,1,4,0,1,2000,past-avg-total,10,44.945080596321226,19.96481956929994,waiting,14.28197155570987
39,638,1,BASELINE,1,15,1000,greedy,1,4,0,1,2000,random,10,17.1539776937014,8.175609014314894,waiting,5.848478369050685
39,638,1,BASELINE,1,15,1000,greedy,1,4,1,1,2000,none,10,260.341475913557,32.32769468669001,waiting,23.125839648806267
39,638,1,BASELINE,1,15,1000,greedy,1,4,1,1,2000,past-avg,10,51.378201479564176,19.917195816259177,waiting,14.247903575083075
39,638,1,BASELINE,1,15,1000,greedy,1,4,1,1,2000,past-avg-revisit,10,256.6337553507892,28.28360426398824,waiting,20.23287163648525
39,638,1,BASELINE,1,15,1000,greedy,1,4,1,1,2000,past-avg-total,10,45.068949486448986,20.818282319613218,waiting,14.892502028150274
39,638,1,BASELINE,1,15,1000,greedy,1,4,1,1,2000,random,10,17.631703595034296,7.91993699193743,waiting,5.665581622174961
39,638,1,BASELINE,1,15,1000,nearest,0,4,0,1,2000,none,10,263.4332670104601,30.98610106559677,waiting,22.16612138692731
39,638,1,BASELINE,1,15,1000,nearest,0,4,0,1,2000,past-avg,10,52.21519514294609,20.490256819261884,waiting,14.657846721133666
39,638,1,BASELINE,1,15,1000,nearest,0,4,0,1,2000,past-avg-revisit,10,259.378146448135,23.903747298757512,waiting,17.099710709166313
39,638,1,BASELINE,1,15,1000,nearest,0,4,0,1,2000,past-avg-total,10,44.41852770754734,20.25380497321669,waiting,14.488699260131543
39,638,1,BASELINE,1,15,1000,nearest,0,4,0,1,2000,random,10,17.1539776937014,8.175609014314894,waiting,5.848478369050685
39,638,1,BASELINE,1,15,1000,nearest,0,4,1,1,2000,none,10,259.1654747766079,30.29298523072898,waiting,21.670296187804766
39,638,1,BASELINE,1,15,1000,nearest,0,4,1,1,2000,past-avg,10,51.75990965628191,19.63789604217546,waiting,14.048104552851303
39,638,1,BASELINE,1,15,1000,nearest,0,4,1,1,2000,past-avg-revisit,10,254.4927329488828,25.710316924222035,waiting,18.39205276689113
39,638,1,BASELINE,1,15,1000,nearest,0,4,1,1,2000,past-avg-total,10,45.43470913011172,20.537093763770475,waiting,14.69135185284328
39,638,1,BASELINE,1,15,1000,nearest,0,4,1,1,2000,random,10,17.631703595034296,7.91993699193743,waiting,5.665581622174961
39,638,1,BASELINE,1,15,1000,nearest,1,4,0,1,2000,none,10,259.95093896368695,31.59124387608271,waiting,22.59901447551762
39,638,1,BASELINE,1,15,1000,nearest,1,4,0,1,2000,past-avg,10,51.98253956926557,20.70150043961642,waiting,14.808961303800263
39,638,1,BASELINE,1,15,1000,nearest,1,4,0,1,2000,past-avg-revisit,10,256.61288113734446,30.465654698708978,waiting,21.793816484177587
39,638,1,BASELINE,1,15,1000,nearest,1,4,0,1,2000,past-avg-total,10,44.945080596321226,19.96481956929994,waiting,14.28197155570987
39,638,1,BASELINE,1,15,1000,nearest,1,4,0,1,2000,random,10,17.1539776937014,8.175609014314894,waiting,5.848478369050685
39,638,1,BASELINE,1,15,1000,nearest,1,4,1,1,2000,none,10,260.341475913557,32.32769468669001,waiting,23.125839648806267
39,638,1,BASELINE,1,15,1000,nearest,1,4,1,1,2000,past-avg,10,51.378201479564176,19.917195816259177,waiting,14.247903575083075
39,638,1,BASELINE,1,15,1000,nearest,1,4,1,1,2000,past-avg-revisit,10,256.6337553507892,28.28360426398824,waiting,20.23287163648525
39,638,1,BASELINE,1,15,1000,nearest,1,4,1,1,2000,past-avg-total,10,45.068949486448986,20.818282319613218,waiting,14.892502028150274
39,638,1,BASELINE,1,15,1000,nearest,1,4,1,1,2000,random,10,17.631703595034296,7.91993699193743,waiting,5.665581622174961
39,638,1,BASELINE,1,15,2000,greedy,0,4,0,1,2000,none,10,75.97579236068054,9.22421301377688,waiting,6.598604481712811
39,638,1,BASELINE,1,15,2000,greedy,0,4,0,1,2000,past-avg,10,62.117920838404565,10.677663025070522,waiting,7.638339984800548
39,638,1,BASELINE,1,15,2000,greedy,0,4,0,1,2000,past-avg-revisit,10,73.93130650997169,6.184469465573793,waiting,4.424102942072231
39,638,1,BASELINE,1,15,2000,greedy,0,4,0,1,2000,past-avg-total,10,61.14917051587774,9.628415073269315,waiting,6.887753216385433
39,638,1,BASELINE,1,15,2000,greedy,0,4,0,1,2000,random,10,58.82930981695728,9.163364023277747,waiting,6.555075736136836
39,638,1,BASELINE,1,15,2000,greedy,0,4,1,1,2000,none,10,74.28343695149447,8.017283535430975,waiting,5.7352191443371625
39,638,1,BASELINE,1,15,2000,greedy,0,4,1,1,2000,past-avg,10,62.109939528741414,11.494777539796846,waiting,8.222868495893335
39,638,1,BASELINE,1,15,2000,greedy,0,4,1,1,2000,past-avg-revisit,10,72.4041115817591,7.333659748837694,waiting,5.24618414749976
39,638,1,BASELINE,1,15,2000,greedy,0,4,1,1,2000,past-avg-total,10,62.09815892234201,10.796306495614092,waiting,7.723212410804313
39,638,1,BASELINE,1,15,2000,greedy,0,4,1,1,2000,random,10,58.9612911010802,9.503953577369652,waiting,6.79871882576397
39,638,1,BASELINE,1,15,2000,greedy,1,4,0,1,2000,none,10,75.21852717722032,10.06583367937527,waiting,7.200663637071123
39,638,1,BASELINE,1,15,2000,greedy,1,4,0,1,2000,past-avg,10,62.117920838404565,10.677663025070522,waiting,7.638339984800548
39,638,1,BASELINE,1,15,2000,greedy,1,4,0,1,2000,past-avg-revisit,10,72.73975864807576,7.094665738960847,waiting,5.075218132044512
39,638,1,BASELINE,1,15,2000,greedy,1,4,0,1,2000,past-avg-total,10,60.950919842510714,9.76486905481908,waiting,6.985366514436663
39,638,1,BASELINE,1,15,2000,greedy,1,4,0,1,2000,random,10,58.74679261397638,9.200537887022119,waiting,6.581668316288642
39,638,1,BASELINE,1,15,2000,greedy,1,4,1,1,2000,none,10,73.50448443503396,7.703759042857708,waiting,5.510937233378386
39,638,1,BASELINE,1,15,2000,greedy,1,4,1,1,2000,past-avg,10,62.109939528741414,11.494777539796846,waiting,8.222868495893335
39,638,1,BASELINE,1,15,2000,greedy,1,4,1,1,2000,past-avg-revisit,10,72.8777372996926,7.680544769549709,waiting,5.494330742650008
39,638,1,BASELINE,1,15,2000,greedy,1,4,1,1,2000,past-avg-total,10,62.09815892234201,10.796306495614092,waiting,7.723212410804313
39,638,1,BASELINE,1,15,2000,greedy,1,4,1,1,2000,random,10,59.172390473873314,9.36799088250659,waiting,6.701456973036893
39,638,1,BASELINE,1,15,2000,nearest,0,4,0,1,2000,none,10,75.97579236068054,9.22421301377688,waiting,6.598604481712811
39,638,1,BASELINE,1,15,2000,nearest,0,4,0,1,2000,past-avg,10,62.117920838404565,10.677663025070522,waiting,7.638339984800548
39,638,1,BASELINE,1,15,2000,nearest,0,4,0,1,2000,past-avg-revisit,10,73.93130650997169,6.184469465573793,waiting,4.424102942072231
39,638,1,BASELINE,1,15,2000,nearest,0,4,0,1,2000,past-avg-total,10,61.14917051587774,9.628415073269315,waiting,6.887753216385433
39,638,1,BASELINE,1,15,2000,nearest,0,4,0,1,2000,random,10,58.82930981695728,9.163364023277747,waiting,6.555075736136836
39,638,1,BASELINE,1,15,2000,nearest,0,4,1,1,2000,none,10,74.28343695149447,8.017283535430975,waiting,5.7352191443371625
39,638,1,BASELINE,1,15,2000,nearest,0,4,1,1,2000,past-avg,10,62.109939528741414,11.494777539796846,waiting,8.222868495893335
39,638,1,BASELINE,1,15,2000,nearest,0,4,1,1,2000,past-avg-revisit,10,72.4041115817591,7.333659748837694,waiting,5.24618414749976
39,638,1,BASELINE,1,15,2000,nearest,0,4,1,1,2000,past-avg-total,10,62.09815892234201,10.796306495614092,waiting,7.723212410804313
