series,selectedConfig,algorithm,taxiCount,clientCount,taxiSeatCount,spawnScenario,runIndex,worldSeed,tickBlock,servedRequestsSum,finishedRequestsSum,waitingTimeSum,waitingTimeCount,rows,activeClientsMean,servedRequestsMean,finishedRequestsMean,calcTimeMillisMean,waitingTimeAvg
Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,BASELINE,2,1,34,3,2,3.85,3,1,2.0,3.0,2.0,0.003036,1.2833333333333334
Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,BASELINE,2,1,35,13,12,24.75,13,1,6.0,13.0,12.0,0.003062,1.9038461538461537
Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,BASELINE,2,1,36,7,8,11.5,7,1,4.0,7.0,8.0,0.002744,1.6428571428571428
Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,BASELINE,2,1,37,10,9,19.183333333333334,10,1,6.0,10.0,9.0,0.002803,1.9183333333333334
Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,BASELINE,2,1,38,6,9,8.583333333333334,6,1,4.0,6.0,9.0,0.002865,1.4305555555555556
Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,BASELINE,2,1,39,10,5,13.133333333333333,10,1,5.0,10.0,5.0,0.002582,1.3133333333333332
Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,BASELINE,2,1,40,9,11,19.583333333333332,9,1,6.0,9.0,11.0,0.002546,2.1759259259259256
Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,BASELINE,2,1,41,3,5,5.2,3,1,2.0,3.0,5.0,0.002507,1.7333333333333334
Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,BASELINE,2,1,42,6,6,7.516666666666667,6,1,3.0,6.0,6.0,0.00267,1.2527777777777778
Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,BASELINE,2,1,43,7,7,9.716666666666667,7,1,4.0,7.0,7.0,0.002579,1.388095238095238
Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,BASELINE,2,1,44,5,5,9.916666666666666,5,1,2.0,5.0,5.0,0.002639,1.9833333333333332
Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,BASELINE,2,1,45,4,3,7.233333333333333,4,1,2.0,4.0,3.0,0.002482,1.8083333333333333
Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,BASELINE,2,1,46,7,7,10.1,7,1,4.0,7.0,7.0,0.002496,1.4428571428571428
Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,BASELINE,2,1,47,7,8,9.55,7,1,5.0,7.0,8.0,0.002645,1.3642857142857143
Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,BASELINE,2,1,48,8,7,17.433333333333334,8,1,4.0,8.0,7.0,0.002729,2.1791666666666667
Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,BASELINE,2,1,49,5,6,11.983333333333333,5,1,3.0,5.0,6.0,0.00252,2.3966666666666665
Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,BASELINE,2,1,50,12,9,20.883333333333333,12,1,5.0,12.0,9.0,0.002673,1.7402777777777778
Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,BASELINE,2,1,51,8,10,13.466666666666667,8,1,4.0,8.0,10.0,0.002575,1.6833333333333333
Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,BASELINE,2,1,52,6,7,12.416666666666666,6,1,3.0,6.0,7.0,0.002592,2.069444444444444
Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,BASELINE,2,1,53,5,7,5.716666666666667,5,1,2.0,5.0,7.0,0.002529,1.1433333333333333
Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,BASELINE,2,1,54,12,6,13.933333333333334,12,1,5.0,12.0,6.0,0.002693,1.1611111111111112
Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,BASELINE,2,1,55,5,7,9.116666666666667,5,1,3.0,5.0,7.0,0.002572,1.8233333333333335
Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,BASELINE,2,1,56,8,10,8.816666666666666,8,1,4.0,8.0,10.0,0.002652,1.1020833333333333
Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,BASELINE,2,1,57,16,10,26.333333333333332,16,1,8.0,16.0,10.0,0.002771,1.6458333333333333
Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,BASELINE,2,1,58,7,13,10.883333333333333,7,1,4.0,7.0,13.0,0.004405,1.5547619047619048
Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,BASELINE,2,1,59,8,8,9.466666666666667,8,1,4.0,8.0,8.0,0.002894,1.1833333333333333
Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,BASELINE,2,1,60,10,8,13.15,10,1,6.0,10.0,8.0,0.002781,1.315
Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,BASELINE,2,1,61,9,9,14.466666666666667,9,1,5.0,9.0,9.0,0.002751,1.6074074074074074
Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,BASELINE,2,1,62,7,9,7.316666666666666,7,1,4.0,7.0,9.0,0.002651,1.0452380952380953
Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,BASELINE,2,1,63,7,5,8.9,7,1,4.0,7.0,5.0,0.002744,1.2714285714285716
Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,BASELINE,2,1,64,6,9,8.633333333333333,6,1,4.0,6.0,9.0,0.002798,1.4388888888888889
Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,BASELINE,2,1,65,8,7,10.866666666666667,8,1,4.0,8.0,7.0,0.002804,1.3583333333333334
Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,BASELINE,2,1,66,6,7,6.0,6,1,3.0,6.0,7.0,0.002727,1.0
Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,BASELINE,2,1,67,4,3,4.683333333333334,4,1,2.0,4.0,3.0,0.002753,1.1708333333333334
Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,BASELINE,2,1,68,4,5,5.266666666666667,4,1,2.0,4.0,5.0,0.002687,1.3166666666666667
Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,BASELINE,2,1,69,9,5,13.716666666666667,9,1,4.0,9.0,5.0,0.002844,1.5240740740740741
