metric,algorithm,taxiCount,clientCount,taxiSeatCount,spawnScenario,kHops,p2pRequestRepublishTicks,p2pRqsRadius,p2pStrategy,p2pOverlayMinNeighbors,p2pOverlayMaxNeighbors,p2pOverlayShortcuts,p2pOverlayMaxDistanceFactor,p2pTopologyScanTicks,idleRoamingEnabled,idleRoamingStrategy,idleRoamingMode,runs,avgMean,avgStd,avgMin,avgMax,countMean,countMin,countMax,rawRows,servedRatioMean
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,1,15,2000,nearest,1,4,1,1,200,False,none,none,4,0.0,0.0,0.0,0.0,86969.0,86600,87428,4,136.31504702194357
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,1,15,2000,nearest,1,4,1,1,200,True,past-avg,past-avg,4,0.0,0.0,0.0,0.0,86902.75,86527,87257,4,136.21120689655172
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,1,15,2000,nearest,1,4,1,1,200,True,past-avg-revisit,past-avg-revisit,4,0.0,0.0,0.0,0.0,86984.75,86599,87352,4,136.33973354231975
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,1,15,2000,nearest,1,4,1,1,200,True,past-avg-total,past-avg-total,4,0.0,0.0,0.0,0.0,86902.25,86527,87276,4,136.21042319749216
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,1,15,2000,nearest,1,4,1,1,200,True,random,random,4,0.0,0.0,0.0,0.0,86984.75,86599,87352,4,136.33973354231975
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,1,15,3000,greedy,1,4,0,1,200,False,none,none,4,0.0,0.0,0.0,0.0,87040.0,86722,87504,4,136.42633228840126
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,1,15,3000,greedy,1,4,0,1,200,True,past-avg,past-avg,4,0.0,0.0,0.0,0.0,86985.0,86652,87356,4,136.34012539184954
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,1,15,3000,greedy,1,4,0,1,200,True,past-avg-revisit,past-avg-revisit,4,0.0,0.0,0.0,0.0,87047.25,86599,87573,4,136.43769592476488
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,1,15,3000,greedy,1,4,0,1,200,True,past-avg-total,past-avg-total,4,0.0,0.0,0.0,0.0,87001.75,86599,87410,4,136.36637931034483
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,1,15,3000,greedy,1,4,0,1,200,True,random,random,4,0.0,0.0,0.0,0.0,87047.25,86599,87573,4,136.43769592476488
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,1,15,3000,greedy,1,4,1,1,200,False,none,none,4,0.0,0.0,0.0,0.0,87040.0,86722,87504,4,136.42633228840126
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,1,15,3000,greedy,1,4,1,1,200,True,past-avg,past-avg,4,0.0,0.0,0.0,0.0,86971.75,86652,87356,4,136.31935736677116
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,1,15,3000,greedy,1,4,1,1,200,True,past-avg-revisit,past-avg-revisit,4,0.0,0.0,0.0,0.0,87068.5,86599,87658,4,136.47100313479623
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,1,15,3000,greedy,1,4,1,1,200,True,past-avg-total,past-avg-total,4,0.0,0.0,0.0,0.0,87016.25,86599,87410,4,136.3891065830721
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,1,15,3000,greedy,1,4,1,1,200,True,random,random,4,0.0,0.0,0.0,0.0,87068.5,86599,87658,4,136.47100313479623
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,1,15,3000,nearest,1,4,0,1,200,False,none,none,4,0.0,0.0,0.0,0.0,87040.0,86722,87504,4,136.42633228840126
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,1,15,3000,nearest,1,4,0,1,200,True,past-avg,past-avg,4,0.0,0.0,0.0,0.0,86985.0,86652,87356,4,136.34012539184954
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,1,15,3000,nearest,1,4,0,1,200,True,past-avg-revisit,past-avg-revisit,4,0.0,0.0,0.0,0.0,87047.25,86599,87573,4,136.43769592476488
