variant_k,kHops,spawnScenario,taxiCount,taxiSeatCount,p2pRqsRadius,p2pOverlayMinNeighbors,p2pOverlayMaxNeighbors,p2pOverlayShortcuts,idleRoamingMode,Calculation Time [millis],Client Travel Time [min],Client Waiting Time [min],Simulation Time [millis],Taxi Travel Distance [km]
P2PCollector+greedy (k=0),0,RUSH_HOUR,1685,1,3000,1,4,1,past-avg,2.72,3053.6625,1282.645,3.195,306646.4325
P2PCollector+greedy (k=0),0,RUSH_HOUR,1685,1,3000,1,4,1,past-avg-revisit,1.27,2661.2725,854.0899999999999,1.73,447150.155
P2PCollector+greedy (k=0),0,RUSH_HOUR,1685,1,3000,1,4,1,past-avg-total,2.6775,3057.085,1286.775,3.1625,361936.3525
P2PCollector+greedy (k=0),0,RUSH_HOUR,1685,1,3000,1,4,1,random,1.2325,2661.2725,854.0899999999999,1.685,447150.155
P2PCollector+greedy (k=0),0,SPATIAL_IMBALANCE,39,1,1000,1,4,0,none,0.02,1650.16,1265.735,0.02,37614.0175
P2PCollector+greedy (k=0),0,SPATIAL_IMBALANCE,39,1,1000,1,4,0,past-avg,0.01,510.485,117.245,0.01,103749.1
P2PCollector+greedy (k=0),0,SPATIAL_IMBALANCE,39,1,1000,1,4,0,past-avg-revisit,0.01,527.6424999999999,139.6475,0.01,294640.3625
P2PCollector+greedy (k=0),0,SPATIAL_IMBALANCE,39,1,1000,1,4,0,past-avg-total,0.01,514.5275,120.9025,0.01,116114.315
P2PCollector+greedy (k=0),0,SPATIAL_IMBALANCE,39,1,1000,1,4,0,random,0.01,527.6424999999999,139.6475,0.01,294640.3625
P2PCollector+greedy (k=0),0,SPATIAL_IMBALANCE,39,1,1000,1,4,1,none,0.02,1650.16,1265.735,0.02,37614.0175
P2PCollector+greedy (k=0),0,SPATIAL_IMBALANCE,39,1,1000,1,4,1,past-avg,0.01,510.485,117.245,0.01,103749.1
P2PCollector+greedy (k=0),0,SPATIAL_IMBALANCE,39,1,1000,1,4,1,past-avg-revisit,0.01,527.6424999999999,139.6475,0.01,294640.3625
P2PCollector+greedy (k=0),0,SPATIAL_IMBALANCE,39,1,1000,1,4,1,past-avg-total,0.01,514.5275,120.9025,0.01,116114.315
P2PCollector+greedy (k=0),0,SPATIAL_IMBALANCE,39,1,1000,1,4,1,random,0.01,527.6424999999999,139.6475,0.01,294640.3625
P2PCollector+greedy (k=0),0,SPATIAL_IMBALANCE,39,1,2000,1,4,0,none,0.015,895.8525,534.8275,0.02,70222.7575
P2PCollector+greedy (k=0),0,SPATIAL_IMBALANCE,39,1,2000,1,4,0,past-avg,0.0,557.3425,162.5525,0.01,90947.69750000001
P2PCollector+greedy (k=0),0,SPATIAL_IMBALANCE,39,1,2000,1,4,0,past-avg-revisit,0.0,569.575,175.3175,0.01,119891.5025
P2PCollector+greedy (k=0),0,SPATIAL_IMBALANCE,39,1,2000,1,4,0,past-avg-total,0.0,557.6175000000001,162.89499999999998,0.01,96355.08
P2PCollector+greedy (k=0),0,SPATIAL_IMBALANCE,39,1,2000,1,4,0,random,0.0,569.575,175.3175,0.01,119891.5025
P2PCollector+greedy (k=0),0,SPATIAL_IMBALANCE,39,1,2000,1,4,1,none,0.0175,895.8525,534.8275,0.02,70222.7575
P2PCollector+greedy (k=0),0,SPATIAL_IMBALANCE,39,1,2000,1,4,1,past-avg,0.0,557.3425,162.5525,0.01,90947.69750000001
P2PCollector+greedy (k=0),0,SPATIAL_IMBALANCE,39,1,2000,1,4,1,past-avg-revisit,0.0,569.575,175.3175,0.01,119891.5025
P2PCollector+greedy (k=0),0,SPATIAL_IMBALANCE,39,1,2000,1,4,1,past-avg-total,0.0,557.6175000000001,162.89499999999998,0.01,96355.08
P2PCollector+greedy (k=0),0,SPATIAL_IMBALANCE,39,1,2000,1,4,1,random,0.0,569.575,175.3175,0.01,119891.5025
P2PCollector+greedy (k=0),0,SPATIAL_IMBALANCE,39,1,3000,1,4,0,none,0.0,648.4075,253.31,0.01,87534.0675
P2PCollector+greedy (k=0),0,SPATIAL_IMBALANCE,39,1,3000,1,4,0,past-avg,0.0,645.2375,250.14,0.01,90568.755
P2PCollector+greedy (k=0),0,SPATIAL_IMBALANCE,39,1,3000,1,4,0,past-avg-revisit,0.0,646.595,251.5,0.01,96144.7
P2PCollector+greedy (k=0),0,SPATIAL_IMBALANCE,39,1,3000,1,4,0,past-avg-total,0.0,642.4625,247.3675,0.01,96324.19
P2PCollector+greedy (k=0),0,SPATIAL_IMBALANCE,39,1,3000,1,4,0,random,0.0,646.595,251.5,0.01,96144.7
P2PCollector+greedy (k=0),0,SPATIAL_IMBALANCE,39,1,3000,1,4,1,none,0.0,648.4075,253.31,0.01,87534.0675
P2PCollector+greedy (k=0),0,SPATIAL_IMBALANCE,39,1,3000,1,4,1,past-avg,0.0,645.2375,250.14,0.01,90568.755
P2PCollector+greedy (k=0),0,SPATIAL_IMBALANCE,39,1,3000,1,4,1,past-avg-revisit,0.0,646.595,251.5,0.01,96144.7
P2PCollector+greedy (k=0),0,SPATIAL_IMBALANCE,39,1,3000,1,4,1,past-avg-total,0.0,642.4625,247.3675,0.01,96324.19
P2PCollector+greedy (k=0),0,SPATIAL_IMBALANCE,39,1,3000,1,4,1,random,0.0,646.595,251.5,0.01,96144.7
P2PCollector+greedy (k=0),0,SPATIAL_IMBALANCE,1685,1,1000,1,4,0,none,3.4699999999999998,8239.744999999999,6412.625,3.9,82275.76999999999
P2PCollector+greedy (k=0),0,SPATIAL_IMBALANCE,1685,1,1000,1,4,0,past-avg,2.6375,1987.4025,418.8025,3.0875,352034.32
P2PCollector+greedy (k=0),0,SPATIAL_IMBALANCE,1685,1,1000,1,4,0,past-avg-revisit,3.6174999999999997,4841.8175,3582.55,4.1725,755393.2025
P2PCollector+greedy (k=0),0,SPATIAL_IMBALANCE,1685,1,1000,1,4,0,past-avg-total,2.48,1740.3275,143.5875,2.95,436809.875
P2PCollector+greedy (k=0),0,SPATIAL_IMBALANCE,1685,1,1000,1,4,0,random,3.635,4841.8175,3582.55,4.205,755393.2025
P2PCollector+greedy (k=0),0,SPATIAL_IMBALANCE,1685,1,1000,1,4,1,none,3.4025,8239.744999999999,6412.625,3.8225,82275.76999999999
P2PCollector+greedy (k=0),0,SPATIAL_IMBALANCE,1685,1,1000,1,4,1,past-avg,2.6975,1987.4025,418.8025,3.1525,352034.32
P2PCollector+greedy (k=0),0,SPATIAL_IMBALANCE,1685,1,1000,1,4,1,past-avg-revisit,3.7325,4841.8175,3582.55,4.33,755393.2025
P2PCollector+greedy (k=0),0,SPATIAL_IMBALANCE,1685,1,1000,1,4,1,past-avg-total,2.66,1740.3275,143.5875,3.1475,436809.875
P2PCollector+greedy (k=0),0,SPATIAL_IMBALANCE,1685,1,1000,1,4,1,random,3.69,4841.8175,3582.55,4.2625,755393.2025
P2PCollector+greedy (k=0),0,SPATIAL_IMBALANCE,1685,1,2000,1,4,0,none,3.4625,7420.08,5927.5575,3.8925,110784.4575
P2PCollector+greedy (k=0),0,SPATIAL_IMBALANCE,1685,1,2000,1,4,0,past-avg,1.635,1958.3025,376.1125,2.0725,333032.8425
P2PCollector+greedy (k=0),0,SPATIAL_IMBALANCE,1685,1,2000,1,4,0,past-avg-revisit,3.545,4542.8150000000005,3261.7825000000003,4.109999999999999,747075.06
P2PCollector+greedy (k=0),0,SPATIAL_IMBALANCE,1685,1,2000,1,4,0,past-avg-total,1.32,1792.265,190.8075,1.77,488591.2125
P2PCollector+greedy (k=0),0,SPATIAL_IMBALANCE,1685,1,2000,1,4,0,random,3.525,4542.8150000000005,3261.7825000000003,4.1025,747075.06
P2PCollector+greedy (k=0),0,SPATIAL_IMBALANCE,1685,1,2000,1,4,1,none,3.4,7420.08,5927.5575,3.83,110784.4575
P2PCollector+greedy (k=0),0,SPATIAL_IMBALANCE,1685,1,2000,1,4,1,past-avg,1.635,1958.3025,376.1125,2.0675,333032.8425
P2PCollector+greedy (k=0),0,SPATIAL_IMBALANCE,1685,1,2000,1,4,1,past-avg-revisit,3.4825,4542.8150000000005,3261.7825000000003,4.0425,747075.06
P2PCollector+greedy (k=0),0,SPATIAL_IMBALANCE,1685,1,2000,1,4,1,past-avg-total,1.3425,1792.265,190.8075,1.8050000000000002,488591.2125
P2PCollector+greedy (k=0),0,SPATIAL_IMBALANCE,1685,1,2000,1,4,1,random,3.5549999999999997,4542.8150000000005,3261.7825000000003,4.13,747075.06
P2PCollector+greedy (k=0),0,SPATIAL_IMBALANCE,1685,1,3000,1,4,0,none,3.2725,6628.2975,5242.6675,3.7075,141524.895
P2PCollector+greedy (k=0),0,SPATIAL_IMBALANCE,1685,1,3000,1,4,0,past-avg,1.4375,1948.39,354.9125,1.8825,332632.2625
P2PCollector+greedy (k=0),0,SPATIAL_IMBALANCE,1685,1,3000,1,4,0,past-avg-revisit,3.3449999999999998,4215.8475,2892.3500000000004,3.915,739424.6849999999
P2PCollector+greedy (k=0),0,SPATIAL_IMBALANCE,1685,1,3000,1,4,0,past-avg-total,1.2925,1872.955,269.705,1.7675,497718.52749999997
P2PCollector+greedy (k=0),0,SPATIAL_IMBALANCE,1685,1,3000,1,4,0,random,3.38,4215.8475,2892.3500000000004,3.96,739424.6849999999
P2PCollector+greedy (k=0),0,SPATIAL_IMBALANCE,1685,1,3000,1,4,1,none,3.295,6628.2975,5242.6675,3.7275,141524.895
P2PCollector+greedy (k=0),0,SPATIAL_IMBALANCE,1685,1,3000,1,4,1,past-avg,1.5175,1948.39,354.9125,1.9775,332632.2625
P2PCollector+greedy (k=0),0,SPATIAL_IMBALANCE,1685,1,3000,1,4,1,past-avg-revisit,3.35,4215.8475,2892.3500000000004,3.915,739424.6849999999
P2PCollector+greedy (k=0),0,SPATIAL_IMBALANCE,1685,1,3000,1,4,1,past-avg-total,1.3375,1872.955,269.705,1.8125,497718.52749999997
P2PCollector+greedy (k=0),0,SPATIAL_IMBALANCE,1685,1,3000,1,4,1,random,3.4125,4215.8475,2892.3500000000004,3.99,739424.6849999999
P2PCollector+greedy (k=0),0,SPATIAL_ISLANDS,39,1,1000,1,4,0,none,0.02,2332.5550000000003,1754.605,0.0225,29315.1325
P2PCollector+greedy (k=0),0,SPATIAL_ISLANDS,39,1,1000,1,4,0,past-avg,0.01,581.2475,136.1975,0.01,114950.175
P2PCollector+greedy (k=0),0,SPATIAL_ISLANDS,39,1,1000,1,4,0,past-avg-revisit,0.01,587.2975,149.26,0.01,336579.945
P2PCollector+greedy (k=0),0,SPATIAL_ISLANDS,39,1,1000,1,4,0,past-avg-total,0.005,556.0,113.9225,0.01,136819.9575
P2PCollector+greedy (k=0),0,SPATIAL_ISLANDS,39,1,1000,1,4,0,random,0.01,587.2975,149.26,0.01,336579.945
