metric,algorithm,taxiCount,clientCount,taxiSeatCount,spawnScenario,kHops,p2pRequestRepublishTicks,p2pRqsRadius,p2pStrategy,p2pOverlayMinNeighbors,p2pOverlayMaxNeighbors,p2pOverlayShortcuts,p2pOverlayMaxDistanceFactor,p2pTopologyScanTicks,idleRoamingEnabled,idleRoamingStrategy,idleRoamingMode,runs,avgMean,avgStd,avgMin,avgMax,sumMean,sumStd,countMean,countMin,countMax,spreadMean,spreadStd,communicationTimeMillisMean,rawRows,servedRatioMean
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,2000,nearest,1,4,0,1,2000,False,none,none,10,0.005200000000000001,0.0013984117975602021,0.004,0.008,457.6,121.76042049861687,87147.7,86791,87501,7.4,9.605553948974867,0.0001086,10,
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,2000,nearest,1,4,0,1,2000,True,past-avg,past-avg,10,0.0036999999999999997,0.0004830458915396479,0.003,0.004,313.9,27.86255950594314,87237.8,86884,87884,10.2,21.25401922774451,0.0001232,10,
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,2000,nearest,1,4,0,1,2000,True,past-avg-revisit,past-avg-revisit,10,0.0052,0.001873795909674026,0.003,0.009,462.9,153.21404780386308,87158.1,86764,87592,13.7,21.8329516506078,0.00011149999999999999,10,
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,2000,nearest,1,4,0,1,2000,True,past-avg-total,past-avg-total,10,0.0041,0.00031622776601683794,0.004,0.005,343.5,47.181093200089755,87183.0,86734,87913,17.2,27.324388780395843,0.00013930000000000002,10,
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,2000,nearest,1,4,0,1,2000,True,random,random,10,0.0033,0.0004830458915396479,0.003,0.004,288.5,24.998888864196434,87149.2,86818,87514,6.8,8.778762251403478,0.0001262,10,
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,2000,nearest,1,4,1,1,2000,False,none,none,10,0.0054,0.001429840705968481,0.004,0.008,467.9,127.31278193663213,87147.7,86791,87501,10.7,8.615876817441933,0.0001312,10,
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,2000,nearest,1,4,1,1,2000,True,past-avg,past-avg,10,0.0036000000000000003,0.0005163977794943222,0.003,0.004,316.3,29.601238712819676,87237.8,86884,87884,15.0,23.711225658371653,0.0001227,10,
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,2000,nearest,1,4,1,1,2000,True,past-avg-revisit,past-avg-revisit,10,0.0054,0.0021705094128132946,0.003,0.01,477.5,176.32939504108654,87158.1,86764,87592,19.3,20.160742931637106,0.0001134,10,
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,2000,nearest,1,4,1,1,2000,True,past-avg-total,past-avg-total,10,0.0038,0.0012292725943057184,0.003,0.007,339.1,88.15951451771954,87183.0,86734,87913,12.4,24.654050827850224,0.00020930000000000002,10,
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,2000,nearest,1,4,1,1,2000,True,random,random,10,0.0034000000000000002,0.0005163977794943222,0.003,0.004,300.0,36.11401697709938,87149.2,86818,87514,13.6,11.587349423689037,0.00012869999999999998,10,
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,3000,greedy,0,4,0,1,2000,False,none,none,10,0.0032,0.00042163702135578394,0.003,0.004,292.0,29.683515814524238,87187.7,86818,87501,9.3,13.441643418041478,0.0001782,10,
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,3000,greedy,0,4,0,1,2000,True,past-avg,past-avg,10,0.0036000000000000003,0.0005163977794943222,0.003,0.004,324.6,35.14477991900867,87226.2,86952,87501,20.3,31.83656179091371,0.00021250000000000002,10,
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,3000,greedy,0,4,0,1,2000,True,past-avg-revisit,past-avg-revisit,10,0.0033,0.0004830458915396479,0.003,0.004,290.3,32.93782020717218,87198.2,86833,87600,5.7,14.78024206687954,0.00019219999999999998,10,
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,3000,greedy,0,4,0,1,2000,True,past-avg-total,past-avg-total,10,0.0032,0.00042163702135578394,0.003,0.004,290.4,24.595392522448865,87222.1,86934,87501,14.9,23.96965674440175,0.0002496,10,
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,3000,greedy,0,4,0,1,2000,True,random,random,10,0.003,0.0,0.003,0.003,262.7,15.268340519592241,87215.7,86850,87459,6.8,10.21763181955584,0.0001656,10,
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,3000,greedy,0,4,1,1,2000,False,none,none,10,0.0032,0.00042163702135578394,0.003,0.004,274.7,35.05567001213926,87187.7,86818,87501,5.8,10.768266135063506,0.0001668,10,
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,3000,greedy,0,4,1,1,2000,True,past-avg,past-avg,10,0.0034000000000000002,0.0005163977794943222,0.003,0.004,294.0,27.48737083745107,87226.2,86952,87501,18.1,27.61018330656684,0.000188,10,
