rank,kHops,p2pRequestRepublishTicks,p2pRqsRadius,p2pStrategy,p2pOverlayMinNeighbors,p2pOverlayMaxNeighbors,p2pOverlayShortcuts,p2pOverlayMaxDistanceFactor,p2pTopologyScanTicks,idleRoamingMode,groups,groupsWithin5,groupsWithin5WithTravel,meanWaitingDeltaPct,worstWaitingDeltaPct,meanDistanceDeltaPct,worstDistanceDeltaPct,meanTravelDeltaPct,worstTravelDeltaPct,worstPickupGapPoints,worstReferenceNormalizedRegret
92,1,15,3000,nearest,1,4,1,1,2000,random,8,0,0,108.71971739503353,275.5537403744736,63.81708225383868,147.38155769651092,18.62898077640927,73.7562049463576,5.649088682371584,55.110748074894715
93,0,15,2000,greedy,0,4,0,1,2000,past-avg-total,8,1,1,56.783027204647446,275.6047901068261,11.644362354755641,34.76260181362862,5.866749170859328,74.81386534293637,5.2362942151141905,55.12095802136522
94,0,15,2000,greedy,0,4,1,1,2000,past-avg-total,8,1,1,56.783027204647446,275.6047901068261,11.644362354755641,34.76260181362862,5.866749170859328,74.81386534293637,5.2362942151141905,55.12095802136522
95,0,15,2000,greedy,1,4,0,1,2000,past-avg-total,8,1,1,56.783027204647446,275.6047901068261,11.644362354755641,34.76260181362862,5.866749170859328,74.81386534293637,5.2362942151141905,55.12095802136522
96,0,15,2000,greedy,1,4,1,1,2000,past-avg-total,8,1,1,56.783027204647446,275.6047901068261,11.644362354755641,34.76260181362862,5.866749170859328,74.81386534293637,5.2362942151141905,55.12095802136522
97,0,15,2000,nearest,0,4,0,1,2000,past-avg-total,8,1,1,56.783027204647446,275.6047901068261,11.644362354755641,34.76260181362862,5.866749170859328,74.81386534293637,5.2362942151141905,55.12095802136522
98,0,15,2000,nearest,0,4,1,1,2000,past-avg-total,8,1,1,56.783027204647446,275.6047901068261,11.644362354755641,34.76260181362862,5.866749170859328,74.81386534293637,5.2362942151141905,55.12095802136522
99,0,15,2000,nearest,1,4,0,1,2000,past-avg-total,8,1,1,56.783027204647446,275.6047901068261,11.644362354755641,34.76260181362862,5.866749170859328,74.81386534293637,5.2362942151141905,55.12095802136522
100,0,15,2000,nearest,1,4,1,1,2000,past-avg-total,8,1,1,56.783027204647446,275.6047901068261,11.644362354755641,34.76260181362862,5.866749170859328,74.81386534293637,5.2362942151141905,55.12095802136522
101,0,15,2000,greedy,0,4,0,1,2000,past-avg,8,1,1,56.42371017274243,275.8458375713374,11.515567278710968,34.77334024084513,5.864155224836061,74.90180224223619,5.253584035732295,55.169167514267485
102,0,15,2000,greedy,0,4,1,1,2000,past-avg,8,1,1,56.42371017274243,275.8458375713374,11.515567278710968,34.77334024084513,5.864155224836061,74.90180224223619,5.253584035732295,55.169167514267485
103,0,15,2000,greedy,1,4,0,1,2000,past-avg,8,1,1,56.42371017274243,275.8458375713374,11.515567278710968,34.77334024084513,5.864155224836061,74.90180224223619,5.253584035732295,55.169167514267485
104,0,15,2000,greedy,1,4,1,1,2000,past-avg,8,1,1,56.42371017274243,275.8458375713374,11.515567278710968,34.77334024084513,5.864155224836061,74.90180224223619,5.253584035732295,55.169167514267485
105,0,15,2000,nearest,0,4,0,1,2000,past-avg,8,1,1,56.42371017274243,275.8458375713374,11.515567278710968,34.77334024084513,5.864155224836061,74.90180224223619,5.253584035732295,55.169167514267485
106,0,15,2000,nearest,0,4,1,1,2000,past-avg,8,1,1,56.42371017274243,275.8458375713374,11.515567278710968,34.77334024084513,5.864155224836061,74.90180224223619,5.253584035732295,55.169167514267485
107,0,15,2000,nearest,1,4,0,1,2000,past-avg,8,1,1,56.42371017274243,275.8458375713374,11.515567278710968,34.77334024084513,5.864155224836061,74.90180224223619,5.253584035732295,55.169167514267485
108,0,15,2000,nearest,1,4,1,1,2000,past-avg,8,1,1,56.42371017274243,275.8458375713374,11.515567278710968,34.77334024084513,5.864155224836061,74.90180224223619,5.253584035732295,55.169167514267485
109,2,15,2000,greedy,0,4,1,1,2000,random,8,0,0,76.28900302132317,295.1993654564733,73.56481302545637,144.07521161761247,13.448205649309097,79.10082889592951,6.2999783877242255,59.03987309129466
110,2,15,2000,greedy,1,4,1,1,2000,random,8,0,0,76.27095334499592,295.19957415128346,73.60962434216938,144.07521161761247,13.440397897362761,79.10079452187584,6.2999783877242255,59.03991483025669
111,2,15,2000,nearest,0,4,1,1,2000,random,8,0,0,76.41333503198172,296.26683941031746,73.56422689723695,144.07521161761247,13.477668722665433,79.39674223344042,6.360132555291409,59.25336788206349
112,2,15,2000,nearest,1,4,1,1,2000,random,8,0,0,76.41257880028903,296.2688846194569,73.5994497699783,144.07521161761247,13.474353541023007,79.39729651505533,6.360132555291409,59.25377692389138
113,2,15,3000,greedy,0,4,0,1,2000,random,8,0,0,116.64270473835573,299.86621271371564,64.14786896204463,147.3488131108257,20.990551130954916,80.4678291513287,6.563648152150425,59.97324254274313
114,2,15,3000,greedy,1,4,0,1,2000,random,8,0,0,116.63878364316291,299.86621271371564,64.1472700329223,147.3488131108257,20.9890519755911,80.4678291513287,6.563648152150425,59.97324254274313
115,2,15,3000,nearest,0,4,0,1,2000,random,8,0,0,116.57064671583497,300.03475464238136,64.16586099258245,147.3488131108257,20.94217663479251,80.47222903019453,6.557884878611042,60.00695092847627
116,2,15,3000,nearest,1,4,0,1,2000,random,8,0,0,116.57036286047051,300.03475464238136,64.16020379206834,147.3488131108257,20.942154622464912,80.47222903019453,6.557884878611042,60.00695092847627
117,1,15,3000,nearest,0,4,0,1,2000,random,8,0,0,117.17495313080393,300.9740204178654,64.2409094722733,147.3358118910894,21.168959316826147,80.70034814041527,6.533390966068719,60.19480408357308
118,1,15,3000,nearest,1,4,0,1,2000,random,8,0,0,117.17495313080393,300.9740204178654,64.2409094722733,147.3358118910894,21.168959316826147,80.70034814041527,6.533390966068719,60.19480408357308
119,1,15,3000,greedy,0,4,0,1,2000,random,8,0,0,117.43005406453027,301.6545463677434,64.28657634116793,147.3358118910894,21.249112026978267,80.92337989069742,6.592104315251057,60.330909273548684
120,1,15,3000,greedy,1,4,0,1,2000,random,8,0,0,117.43006803280831,301.6545463677434,64.28657191467546,147.3358118910894,21.24912853622397,80.92337989069742,6.592104315251057,60.330909273548684
121,0,15,3000,greedy,0,4,0,1,2000,random,8,0,0,117.45003699762174,302.45671356595574,64.27493600320683,147.35434512535375,21.238412950769497,81.11954831806038,6.617318636985803,60.491342713191145
