variant_k,kHops,spawnScenario,taxiCount,taxiSeatCount,p2pRqsRadius,p2pOverlayMinNeighbors,p2pOverlayMaxNeighbors,p2pOverlayShortcuts,idleRoamingMode,Calculation Time [millis],Client Travel Time [min],Client Waiting Time [min],Simulation Time [millis],Taxi Travel Distance [km]
P2PCollector+nearest (k=1),1,SPATIAL_IMBALANCE,60,1,2000,1,4,1,none,0.057499999999999996,1179.4275,15.965,0.0625,65.4125
P2PCollector+nearest (k=1),1,SPATIAL_IMBALANCE,60,1,2000,1,4,1,page-rank,0.01,267.53000000000003,1.085,0.015,105.555
P2PCollector+nearest (k=1),1,SPATIAL_IMBALANCE,60,1,2000,1,4,1,return-to-hq,0.052500000000000005,375.21000000000004,2.88,0.052500000000000005,107.1625
P2PCollector+nearest (k=1),1,SPATIAL_IMBALANCE,550,1,1000,1,4,0,none,7.7125,3241.2825000000003,44.7275,7.8325,40.7275
P2PCollector+nearest (k=1),1,SPATIAL_IMBALANCE,550,1,1000,1,4,0,page-rank,0.315,333.0475,0.5425,0.385,128.6625
P2PCollector+nearest (k=1),1,SPATIAL_IMBALANCE,550,1,1000,1,4,0,return-to-hq,2.565,499.9075,3.405,2.6475,110.0025
P2PCollector+nearest (k=1),1,SPATIAL_IMBALANCE,550,1,1000,1,4,1,none,6.775,3209.09,44.355000000000004,6.885,41.4375
P2PCollector+nearest (k=1),1,SPATIAL_IMBALANCE,550,1,1000,1,4,1,page-rank,0.4075,332.975,0.5425,0.48250000000000004,128.645
P2PCollector+nearest (k=1),1,SPATIAL_IMBALANCE,550,1,1000,1,4,1,return-to-hq,3.5025,497.8275,3.3675,3.59,110.465
P2PCollector+nearest (k=1),1,SPATIAL_IMBALANCE,550,1,2000,1,4,0,none,4.6925,2226.7725,30.7375,4.79,63.870000000000005
P2PCollector+nearest (k=1),1,SPATIAL_IMBALANCE,550,1,2000,1,4,0,page-rank,0.5925,362.84749999999997,1.0375,0.6625000000000001,121.76
P2PCollector+nearest (k=1),1,SPATIAL_IMBALANCE,550,1,2000,1,4,0,return-to-hq,6.7225,389.235,1.5025,6.8125,119.48750000000001
P2PCollector+nearest (k=1),1,SPATIAL_IMBALANCE,550,1,2000,1,4,1,none,4.7575,2191.8525,30.19,4.8575,64.81
P2PCollector+nearest (k=1),1,SPATIAL_IMBALANCE,550,1,2000,1,4,1,page-rank,0.8875,363.1625,1.045,0.9575,121.8925
P2PCollector+nearest (k=1),1,SPATIAL_IMBALANCE,550,1,2000,1,4,1,return-to-hq,10.3125,389.9425,1.5125,10.4025,120.06
P2PCollector+nearest (k=1),1,SPATIAL_ISLANDS,60,1,1000,1,4,0,none,0.175,3179.67,41.6625,0.185,25.805
P2PCollector+nearest (k=1),1,SPATIAL_ISLANDS,60,1,1000,1,4,0,page-rank,0.02,294.66999999999996,1.215,0.0225,128.585
P2PCollector+nearest (k=1),1,SPATIAL_ISLANDS,60,1,1000,1,4,0,return-to-hq,0.04,449.4975,3.48,0.04,101.1875
P2PCollector+nearest (k=1),1,SPATIAL_ISLANDS,60,1,1000,1,4,1,none,0.155,3170.895,41.6725,0.165,26.07
P2PCollector+nearest (k=1),1,SPATIAL_ISLANDS,60,1,1000,1,4,1,page-rank,0.02,294.6725,1.215,0.0225,128.585
