algorithm,kHops,p2pRqsRadius,taxiCount,clientCount,taxiSeatCount,p2pStrategy,p2pOverlayMinNeighbors,p2pOverlayMaxNeighbors,p2pOverlayShortcuts,idleRoamingEnabled,idleRoamingStrategy,idleRoamingMode,spawnScenario,metric,runs,avgOfAvg,stdDevOfAvg,minAvg,maxAvg,avgSpread,minSpread,maxSpread
TaxiAlgorithmP2PCollector,0,1000,60,800,1,nearest,1,4,0,true,page-rank,page-rank,BASELINE,Client Waiting Time [min],4,1.9075,0.23359955051326614,1.64,2.28,43.89,30.57,62.79
TaxiAlgorithmP2PCollector,0,1000,60,800,1,nearest,1,4,0,true,page-rank,page-rank,BASELINE,Client Travel Time [min],4,345.84999999999997,12.312816493394184,331.72,365.62,2824.5,1985.0,3974.0
TaxiAlgorithmP2PCollector,0,1000,60,800,1,nearest,1,4,0,true,page-rank,page-rank,BASELINE,Calculation Time [millis],4,0.0275,0.004330127018922192,0.02,0.03,3.0,2.0,4.0
TaxiAlgorithmP2PCollector,0,1000,60,800,1,nearest,1,4,0,true,page-rank,page-rank,BASELINE,Custom Time [micros],4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TaxiAlgorithmP2PCollector,0,1000,60,800,1,nearest,1,4,0,true,page-rank,page-rank,BASELINE,Simulation Time [millis],4,0.035,0.005000000000000001,0.03,0.04,3.25,2.0,4.0
TaxiAlgorithmP2PCollector,0,1000,550,6000,1,nearest,1,4,0,true,page-rank,page-rank,BASELINE,Taxi Travel Distance [km],4,153.745,1.6482945731876892,151.62,155.92,569.2425000000001,549.87,584.98
TaxiAlgorithmP2PCollector,0,1000,550,6000,1,nearest,1,4,0,true,page-rank,page-rank,BASELINE,Client Waiting Time [min],4,0.6075,0.025860201081971523,0.58,0.65,18.02,15.440000000000001,21.9
TaxiAlgorithmP2PCollector,0,1000,550,6000,1,nearest,1,4,0,true,page-rank,page-rank,BASELINE,Client Travel Time [min],4,387.6925,1.990959253726687,385.16,390.59,1445.5,1319.0,1537.0
TaxiAlgorithmP2PCollector,0,1000,550,6000,1,nearest,1,4,0,true,page-rank,page-rank,BASELINE,Calculation Time [millis],4,0.39249999999999996,0.04380353866983808,0.33,0.45,6.0,6.0,6.0
TaxiAlgorithmP2PCollector,0,1000,550,6000,1,nearest,1,4,0,true,page-rank,page-rank,BASELINE,Custom Time [micros],4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TaxiAlgorithmP2PCollector,0,1000,550,6000,1,nearest,1,4,0,true,page-rank,page-rank,BASELINE,Simulation Time [millis],4,0.475,0.04716990566028304,0.41,0.54,6.0,6.0,6.0
TaxiAlgorithmP2PCollector,0,1000,60,800,1,nearest,1,4,0,true,page-rank,page-rank,RUSH_HOUR,Taxi Travel Distance [km],4,120.5425,2.874329269586209,117.37,124.31,319.075,290.04,395.37
TaxiAlgorithmP2PCollector,0,1000,60,800,1,nearest,1,4,0,true,page-rank,page-rank,RUSH_HOUR,Client Waiting Time [min],4,3.415,0.6001874707122766,2.43,3.9,66.905,38.03,88.59
TaxiAlgorithmP2PCollector,0,1000,60,800,1,nearest,1,4,0,true,page-rank,page-rank,RUSH_HOUR,Client Travel Time [min],4,442.365,41.45909580538388,377.92,489.31,4126.0,2438.0,5408.0
TaxiAlgorithmP2PCollector,0,1000,60,800,1,nearest,1,4,0,true,page-rank,page-rank,RUSH_HOUR,Calculation Time [millis],4,0.03,0.0,0.03,0.03,3.25,3.0,4.0
TaxiAlgorithmP2PCollector,0,1000,60,800,1,nearest,1,4,0,true,page-rank,page-rank,RUSH_HOUR,Custom Time [micros],4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TaxiAlgorithmP2PCollector,0,1000,60,800,1,nearest,1,4,0,true,page-rank,page-rank,RUSH_HOUR,Simulation Time [millis],4,0.037500000000000006,0.004330127018922194,0.03,0.04,3.5,3.0,4.0
TaxiAlgorithmP2PCollector,0,1000,550,6000,1,nearest,1,4,0,true,page-rank,page-rank,RUSH_HOUR,Taxi Travel Distance [km],4,142.4425,0.7474749159670911,141.51,143.3,468.27000000000004,461.94,479.66
TaxiAlgorithmP2PCollector,0,1000,550,6000,1,nearest,1,4,0,true,page-rank,page-rank,RUSH_HOUR,Client Waiting Time [min],4,0.98,0.07483314773547886,0.9,1.1,42.050000000000004,30.59,53.019999999999996
TaxiAlgorithmP2PCollector,0,1000,550,6000,1,nearest,1,4,0,true,page-rank,page-rank,RUSH_HOUR,Client Travel Time [min],4,408.5575,5.21034247914664,403.6,417.25,2774.0,2231.0,3261.0
