algorithm,kHops,p2pRequestRepublishTicks,p2pRqsRadius,taxiCount,clientCount,taxiSeatCount,p2pStrategy,p2pOverlayMinNeighbors,p2pOverlayMaxNeighbors,p2pOverlayShortcuts,p2pOverlayMaxDistanceFactor,p2pTopologyScanTicks,idleRoamingEnabled,idleRoamingStrategy,idleRoamingMode,spawnScenario,metric,runs,avgOfAvg,stdDevOfAvg,minAvg,maxAvg,avgSpread,minSpread,maxSpread
TaxiAlgorithmP2PCollector,0,12,2000,2750,30000,1,nearest,1,4,0,1,50,true,past-avg,past-avg,BASELINE,Taxi Travel Distance [km],1,251.02,0.0,251.02,251.02,854.19,854.19,854.19
TaxiAlgorithmP2PCollector,0,12,2000,2750,30000,1,nearest,1,4,0,1,50,true,past-avg,past-avg,BASELINE,Client Waiting Time [min],1,1.03,0.0,1.03,1.03,5.319999999999999,5.319999999999999,5.319999999999999
TaxiAlgorithmP2PCollector,0,12,2000,2750,30000,1,nearest,1,4,0,1,50,true,past-avg,past-avg,BASELINE,Client Travel Time [min],1,765.1,0.0,765.1,765.1,1822.0,1822.0,1822.0
TaxiAlgorithmP2PCollector,0,12,2000,2750,30000,1,nearest,1,4,0,1,50,true,past-avg,past-avg,BASELINE,Calculation Time [millis],1,4.24,0.0,4.24,4.24,84.0,84.0,84.0
TaxiAlgorithmP2PCollector,0,12,2000,2750,30000,1,nearest,1,4,0,1,50,true,past-avg,past-avg,BASELINE,Custom Time [micros],1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TaxiAlgorithmP2PCollector,0,12,2000,2750,30000,1,nearest,1,4,0,1,50,true,past-avg,past-avg,BASELINE,Simulation Time [millis],1,4.83,0.0,4.83,4.83,85.0,85.0,85.0
TaxiAlgorithmP2PCollector,0,12,2000,60,800,1,nearest,1,4,0,1,50,true,past-avg,past-avg,RUSH_HOUR,Taxi Travel Distance [km],1,111.86,0.0,111.86,111.86,263.43,263.43,263.43
TaxiAlgorithmP2PCollector,0,12,2000,60,800,1,nearest,1,4,0,1,50,true,past-avg,past-avg,RUSH_HOUR,Client Waiting Time [min],1,1.12,0.0,1.12,1.12,7.08,7.08,7.08
TaxiAlgorithmP2PCollector,0,12,2000,60,800,1,nearest,1,4,0,1,50,true,past-avg,past-avg,RUSH_HOUR,Client Travel Time [min],1,298.91,0.0,298.91,298.91,749.0,749.0,749.0
TaxiAlgorithmP2PCollector,0,12,2000,60,800,1,nearest,1,4,0,1,50,true,past-avg,past-avg,RUSH_HOUR,Calculation Time [millis],1,0.01,0.0,0.01,0.01,19.0,19.0,19.0
TaxiAlgorithmP2PCollector,0,12,2000,60,800,1,nearest,1,4,0,1,50,true,past-avg,past-avg,RUSH_HOUR,Custom Time [micros],1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TaxiAlgorithmP2PCollector,0,12,2000,60,800,1,nearest,1,4,0,1,50,true,past-avg,past-avg,RUSH_HOUR,Simulation Time [millis],1,0.01,0.0,0.01,0.01,19.0,19.0,19.0
TaxiAlgorithmP2PCollector,0,12,2000,600,8000,1,nearest,1,4,0,1,50,true,past-avg,past-avg,RUSH_HOUR,Taxi Travel Distance [km],1,103.13,0.0,103.13,103.13,659.89,659.89,659.89
TaxiAlgorithmP2PCollector,0,12,2000,600,8000,1,nearest,1,4,0,1,50,true,past-avg,past-avg,RUSH_HOUR,Client Waiting Time [min],1,1.03,0.0,1.03,1.03,1.54,1.54,1.54
TaxiAlgorithmP2PCollector,0,12,2000,600,8000,1,nearest,1,4,0,1,50,true,past-avg,past-avg,RUSH_HOUR,Client Travel Time [min],1,295.98,0.0,295.98,295.98,609.0,609.0,609.0
TaxiAlgorithmP2PCollector,0,12,2000,600,8000,1,nearest,1,4,0,1,50,true,past-avg,past-avg,RUSH_HOUR,Calculation Time [millis],1,0.2,0.0,0.2,0.2,27.0,27.0,27.0
TaxiAlgorithmP2PCollector,0,12,2000,600,8000,1,nearest,1,4,0,1,50,true,past-avg,past-avg,RUSH_HOUR,Custom Time [micros],1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TaxiAlgorithmP2PCollector,0,12,2000,600,8000,1,nearest,1,4,0,1,50,true,past-avg,past-avg,RUSH_HOUR,Simulation Time [millis],1,0.3,0.0,0.3,0.3,27.0,27.0,27.0
TaxiAlgorithmP2PCollector,0,12,2000,2750,30000,1,nearest,1,4,0,1,50,true,past-avg,past-avg,RUSH_HOUR,Taxi Travel Distance [km],1,232.35,0.0,232.35,232.35,839.15,839.15,839.15
TaxiAlgorithmP2PCollector,0,12,2000,2750,30000,1,nearest,1,4,0,1,50,true,past-avg,past-avg,RUSH_HOUR,Client Waiting Time [min],1,1.95,0.0,1.95,1.95,72.32,72.32,72.32
TaxiAlgorithmP2PCollector,0,12,2000,2750,30000,1,nearest,1,4,0,1,50,true,past-avg,past-avg,RUSH_HOUR,Client Travel Time [min],1,814.21,0.0,814.21,814.21,5114.0,5114.0,5114.0
TaxiAlgorithmP2PCollector,0,12,2000,2750,30000,1,nearest,1,4,0,1,50,true,past-avg,past-avg,RUSH_HOUR,Calculation Time [millis],1,9.57,0.0,9.57,9.57,97.0,97.0,97.0
TaxiAlgorithmP2PCollector,0,12,2000,2750,30000,1,nearest,1,4,0,1,50,true,past-avg,past-avg,RUSH_HOUR,Custom Time [micros],1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TaxiAlgorithmP2PCollector,0,12,2000,2750,30000,1,nearest,1,4,0,1,50,true,past-avg,past-avg,RUSH_HOUR,Simulation Time [millis],1,10.22,0.0,10.22,10.22,99.0,99.0,99.0
TaxiAlgorithmP2PCollector,0,12,2000,60,800,1,nearest,1,4,0,1,50,true,past-avg,past-avg,SPATIAL_IMBALANCE,Taxi Travel Distance [km],1,102.93,0.0,102.93,102.93,279.34,279.34,279.34
TaxiAlgorithmP2PCollector,0,12,2000,60,800,1,nearest,1,4,0,1,50,true,past-avg,past-avg,SPATIAL_IMBALANCE,Client Waiting Time [min],1,1.06,0.0,1.06,1.06,6.35,6.35,6.35
TaxiAlgorithmP2PCollector,0,12,2000,60,800,1,nearest,1,4,0,1,50,true,past-avg,past-avg,SPATIAL_IMBALANCE,Client Travel Time [min],1,265.6,0.0,265.6,265.6,526.0,526.0,526.0
TaxiAlgorithmP2PCollector,0,12,2000,60,800,1,nearest,1,4,0,1,50,true,past-avg,past-avg,SPATIAL_IMBALANCE,Calculation Time [millis],1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TaxiAlgorithmP2PCollector,0,12,2000,60,800,1,nearest,1,4,0,1,50,true,past-avg,past-avg,SPATIAL_IMBALANCE,Custom Time [micros],1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TaxiAlgorithmP2PCollector,0,12,2000,60,800,1,nearest,1,4,0,1,50,true,past-avg,past-avg,SPATIAL_IMBALANCE,Simulation Time [millis],1,0.01,0.0,0.01,0.01,0.0,0.0,0.0
TaxiAlgorithmP2PCollector,0,12,2000,600,8000,1,nearest,1,4,0,1,50,true,past-avg,past-avg,SPATIAL_IMBALANCE,Taxi Travel Distance [km],1,98.9,0.0,98.9,98.9,677.34,677.34,677.34
TaxiAlgorithmP2PCollector,0,12,2000,600,8000,1,nearest,1,4,0,1,50,true,past-avg,past-avg,SPATIAL_IMBALANCE,Client Waiting Time [min],1,1.06,0.0,1.06,1.06,1.52,1.52,1.52
TaxiAlgorithmP2PCollector,0,12,2000,600,8000,1,nearest,1,4,0,1,50,true,past-avg,past-avg,SPATIAL_IMBALANCE,Client Travel Time [min],1,264.21,0.0,264.21,264.21,619.0,619.0,619.0
TaxiAlgorithmP2PCollector,0,12,2000,600,8000,1,nearest,1,4,0,1,50,true,past-avg,past-avg,SPATIAL_IMBALANCE,Calculation Time [millis],1,0.18,0.0,0.18,0.18,7.0,7.0,7.0
