variant_k,kHops,spawnScenario,taxiCount,taxiSeatCount,p2pRqsRadius,p2pOverlayMinNeighbors,p2pOverlayMaxNeighbors,p2pOverlayShortcuts,idleRoamingMode,Calculation Time [millis],Client Travel Time [min],Client Waiting Time [min],Taxi Travel Distance [km]
P2PCollector+nearest (k=0),0,BASELINE,5,1,5000,1,4,1,n/a,0.028999999999999998,3920.4119999999994,50.075,313.254
P2PCollector+nearest (k=0),0,BASELINE,5,1,10000,1,4,1,n/a,0.024,2880.42,33.870999999999995,209.52399999999997
P2PCollector+nearest (k=0),0,BASELINE,5,1,20000,1,4,1,n/a,0.026000000000000002,2674.276,30.309000000000005,178.027
P2PCollector+nearest (k=0),0,BASELINE,10,1,1000,1,4,1,n/a,0.0995,5750.633,78.392,437.45
P2PCollector+nearest (k=0),0,BASELINE,10,1,5000,1,4,1,n/a,0.082,2452.195,26.7245,199.52550000000002
P2PCollector+nearest (k=0),0,BASELINE,10,1,10000,1,4,1,n/a,0.075,1953.5190000000002,18.011000000000003,152.404
P2PCollector+nearest (k=0),0,BASELINE,10,1,20000,1,4,1,n/a,0.0705,1968.595,18.2015,144.0025
P2PCollector+nearest (k=0),0,BASELINE,20,1,1000,1,4,1,n/a,0.3485,3833.6169999999997,49.638,337.2045
P2PCollector+nearest (k=0),0,BASELINE,20,1,5000,1,4,1,n/a,0.284,1888.4515,16.707,172.3905
P2PCollector+nearest (k=0),0,BASELINE,20,1,10000,1,4,1,n/a,0.251,1697.7955000000002,13.410499999999999,145.4025
P2PCollector+nearest (k=0),0,BASELINE,20,1,20000,1,4,1,n/a,0.2485,1781.6015,14.868,139.9545
P2PCollector+nearest (k=0),0,SPATIAL_IMBALANCE,5,1,1000,1,4,1,n/a,0.01,13469.168,28.756,40.867000000000004
P2PCollector+nearest (k=0),0,SPATIAL_IMBALANCE,5,1,5000,1,4,1,n/a,0.013000000000000001,3704.46,27.921,138.005
P2PCollector+nearest (k=0),0,SPATIAL_IMBALANCE,5,1,10000,1,4,1,n/a,0.022,2230.352,21.893,149.674
P2PCollector+nearest (k=0),0,SPATIAL_IMBALANCE,5,1,20000,1,4,1,n/a,0.026000000000000002,2159.196,23.43,152.866
P2PCollector+nearest (k=0),0,SPATIAL_IMBALANCE,10,1,1000,1,4,1,n/a,0.0195,12037.958999999999,37.0555,47.677499999999995
P2PCollector+nearest (k=0),0,SPATIAL_IMBALANCE,10,1,5000,1,4,1,n/a,0.0335,2884.081,22.403,112.95450000000001
P2PCollector+nearest (k=0),0,SPATIAL_IMBALANCE,10,1,10000,1,4,1,n/a,0.05500000000000001,1699.074,13.9325,118.2875
P2PCollector+nearest (k=0),0,SPATIAL_IMBALANCE,10,1,20000,1,4,1,n/a,0.063,1583.966,13.346,117.6745
P2PCollector+nearest (k=0),0,SPATIAL_IMBALANCE,20,1,1000,1,4,1,n/a,0.063,9931.539999999999,50.5685,61.1395
P2PCollector+nearest (k=0),0,SPATIAL_IMBALANCE,20,1,5000,1,4,1,n/a,0.1095,2262.4845,15.9215,112.77649999999998
P2PCollector+nearest (k=0),0,SPATIAL_IMBALANCE,20,1,10000,1,4,1,n/a,0.22799999999999998,1436.732,10.805,115.923
P2PCollector+nearest (k=0),0,SPATIAL_IMBALANCE,20,1,20000,1,4,1,n/a,0.23500000000000001,1458.8685,11.381499999999999,118.737
P2PCollector+nearest (k=0),0,SPATIAL_ISLANDS,5,1,1000,1,4,1,n/a,0.01,12793.380000000001,44.595,46.78
P2PCollector+nearest (k=0),0,SPATIAL_ISLANDS,5,1,5000,1,4,1,n/a,0.01,3912.244,30.695,130.98499999999999
P2PCollector+nearest (k=0),0,SPATIAL_ISLANDS,5,1,10000,1,4,1,n/a,0.017,2505.044,24.772,147.652
P2PCollector+nearest (k=0),0,SPATIAL_ISLANDS,5,1,20000,1,4,1,n/a,0.022,2159.668,21.008,151.077
P2PCollector+nearest (k=0),0,SPATIAL_ISLANDS,10,1,1000,1,4,1,n/a,0.02,10071.628,43.114999999999995,54.49400000000001
P2PCollector+nearest (k=0),0,SPATIAL_ISLANDS,10,1,5000,1,4,1,n/a,0.035,2838.297,20.8345,105.011
P2PCollector+nearest (k=0),0,SPATIAL_ISLANDS,10,1,10000,1,4,1,n/a,0.043000000000000003,2084.142,16.3505,111.14500000000001
P2PCollector+nearest (k=0),0,SPATIAL_ISLANDS,10,1,20000,1,4,1,n/a,0.05600000000000001,1672.676,14.242500000000001,115.24849999999999
P2PCollector+nearest (k=0),0,SPATIAL_ISLANDS,20,1,1000,1,4,1,n/a,0.065,8835.371000000001,44.6,66.801
P2PCollector+nearest (k=0),0,SPATIAL_ISLANDS,20,1,5000,1,4,1,n/a,0.158,1933.756,13.237,111.25550000000001
P2PCollector+nearest (k=0),0,SPATIAL_ISLANDS,20,1,10000,1,4,1,n/a,0.2165,1626.669,12.4465,113.9325
P2PCollector+nearest (k=0),0,SPATIAL_ISLANDS,20,1,20000,1,4,1,n/a,0.22799999999999998,1622.339,12.88,118.479
P2PCollector+nearest (k=1),1,BASELINE,5,1,1000,1,4,1,n/a,0.033,9061.439999999999,129.184,569.2090000000001
P2PCollector+nearest (k=1),1,BASELINE,5,1,5000,1,4,1,n/a,0.031,4099.568,50.594,312.432
P2PCollector+nearest (k=1),1,BASELINE,5,1,10000,1,4,1,n/a,0.025,2845.26,32.298,231.81199999999998
P2PCollector+nearest (k=1),1,BASELINE,5,1,20000,1,4,1,n/a,0.028000000000000004,2632.324,29.496999999999996,173.453
P2PCollector+nearest (k=1),1,BASELINE,10,1,1000,1,4,1,n/a,0.0955,5745.865,77.809,423.668
P2PCollector+nearest (k=1),1,BASELINE,10,1,5000,1,4,1,n/a,0.081,2447.594,26.387,208.6435
P2PCollector+nearest (k=1),1,BASELINE,10,1,10000,1,4,1,n/a,0.0665,2010.614,18.842,165.885
P2PCollector+nearest (k=1),1,BASELINE,10,1,20000,1,4,1,n/a,0.05450000000000001,2067.243,19.786,132.00650000000002
P2PCollector+nearest (k=1),1,BASELINE,20,1,1000,1,4,1,n/a,0.344,3988.4995000000004,52.588499999999996,345.01750000000004
P2PCollector+nearest (k=1),1,BASELINE,20,1,5000,1,4,1,n/a,0.29700000000000004,1932.5735,17.567,174.7065
P2PCollector+nearest (k=1),1,BASELINE,20,1,10000,1,4,1,n/a,0.22149999999999997,1744.0384999999999,14.1845,134.3075
P2PCollector+nearest (k=1),1,BASELINE,20,1,20000,1,4,1,n/a,0.1945,1903.7459999999999,16.8595,125.83699999999999
P2PCollector+nearest (k=1),1,SPATIAL_IMBALANCE,5,1,1000,1,4,1,n/a,0.01,13469.168,28.756,40.867000000000004
